,peak_id,peak_name,pk_name_2,location,height_m,himal,region,open,unlisted,trekking,restrict,country_host,country_status,year,season,expid,summiter_country,summiters
191,KGUR,Kang Guru,Naurgaon,Peri Himal (SW of Himlung Himal),6981,Peri,Annapurna-Damodar-Peri,True,False,False,,Nepal only,Climbed,1955,Summer,KGUR55201,W Germany,"Heinz Steinmetz, Fritz Lobbichler, Juergen Wellenkamp"
192,KHAM,Khamjung,"Khumjung, Khamjungar",Damodar Himal (W of Saribung and Bhrikuti),6759,Damodar,Annapurna-Damodar-Peri,True,False,False,Opened in 2002,Nepal only,Climbed,1982,Unknown,,Japan,Climbed?
193,KHAT,Khatang,,Rolwaling Himal (E of Numbur),6790,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal only,Climbed,1982,Autumn,KHAT82301,"Japan, Nepal","Tatsumi Kawamura, Yoshimi Kitayama, Dorje Sherpa"
194,KHAY,Khayang,,Manaslu Himal (E of Samdo Peak on Tibetan border),6186,Manaslu/Mansiri,Manaslu-Ganesh,True,False,False,Opened in 2003,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed?
195,KHNG,Khung,,Palchung Himal (NE of Kanjiroba on Tibetan border),6024,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
196,KHON,Khongma Tse,Mehra Peak,Khumbu Himal (SW of Nuptse),5798,Khumbu,Khumbu-Rolwaling-Makalu,False,False,True,,Nepal only,Climbed,0,Unknown,,,1st ascent unknown
197,KHUM,Khumbutse,,Khumbu Himal (NW of Lho La on Tibetan border),6639,Khumbu,Khumbu-Rolwaling-Makalu,True,False,False,,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
198,KIMS,Kimshung,"Kinshung, Tsangbu Ri",Langtang Himal (NE of Langtang Lirung),6781,Langtang,Langtang-Jugal,False,True,False,,Nepal only,Unclimbed,0,Unknown,,,
199,KIRA,Kirat Chuli,Tent Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7362,Jongsang,Kangchenjunga-Janak,True,False,False,,Nepal & India,Climbed,1939,Summer,KIRA39101,"Switzerland, Germany","Ernst Grob, Herbert Paidar, Ludwig Schmaderer"
200,KJER,Kanjeralwa,Kanchen Ruwa,Kanjiroba Himal (NW of Phoksumdo Tal),6612,Kanjiroba,Kanjiroba-Far West,True,False,False,,Nepal only,Climbed,1973,Spring,KJER73101,"Japan, Nepal","Yasuaki Goshima, Koichi Kyogoku, Mingma Tensing Sherpa, Mingma Tsering Sherpa"
201,KJRN,Kanjiroba North,,Kanjiroba Himal,6858,Kanjiroba,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal only,Unclimbed,0,Unknown,,,Unclimbed
202,KJRS,Kanjiroba South,,Kanjiroba Himal,6883,Kanjiroba,Kanjiroba-Far West,True,False,False,One permit for Kanjiroba's north and south summits,Nepal only,Climbed,1970,Autumn,KJRS70301,Japan,"Hiroshi Okuda, Ichiryo Sato, Munehiro Sawada"
203,KNAG,Kang Nagchugo,Khang Nagchugo,Rolwaling Himal (E of Chekigo on Tibetan border),6737,Rolwaling,Khumbu-Rolwaling-Makalu,True,False,False,Opened in 2002,Nepal & China,Climbed,2008,Autumn,KNAG08301,USA,"Joseph Puryear, David Gottlieb"
204,KNTE,Kanti Himal East,,Kanti Himal (ENE of Kanti Himal on Tibetan border),6516,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
205,KOGI,Kogi Khang North,Kogi Kang North,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),6275,Kanti/Palchung,Kanjiroba-Far West,True,False,False,Opened in 2014,Nepal & China,Unclimbed,0,Unknown,,,Unclimbed
